rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
748,Medical Mutual of Ohio,762,2895 ,5.00%,8.10 ,-80.00%,2234 ,-,2244,Richard A. Chiricosta,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",-,Cleveland,OH,41.499320000000004,-81.6943605
749,MSC Industrial Direct,752,2888 ,0.80%,231.40 ,0.10%,2099 ,5178 ,6563,Erik Gershwind,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Melville,NY,40.793432200000005,-73.4151214
750,Legg Mason,783,2887 ,8.50%,227.30 ,-,8290 ,3437 ,3338,Joseph A. Sullivan,"Chairman, President &  Chief Executive Officer",Financials,Securities,-,Baltimore,MD,39.2903848,-76.6121893
751,Hyster-Yale Materials Handling,792,2885 ,12.30%,48.60 ,13.60%,1648 ,1157 ,6800,Alfred M. Rankin Jr.,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH,41.499320000000004,-81.6943605
752,Apollo Global Management,881,2884 ,29.80%,629.10 ,56.20%,6991 ,5970 ,1047,Leon D. Black,Chairman &  Chief Executive Officer,Financials,Securities,-,New York,NY,40.7127753,-74.0059728
753,Citrix Systems,661,2883 ,-15.70%,(20.70),-103.90%,5820 ,12635 ,7500,David J. Henshall,"President, Chief Executive Officer &  Director",Technology,Computer Software,-,Fort Lauderdale,FL,26.122438600000002,-80.13731740000001
754,Acadia Healthcare,754,2877 ,0.90%,199.80 ,3153.10%,6425 ,3459 ,34050,Joey A. Jacobs,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,-,Franklin,TN,35.9250637,-86.86888990000001
755,Varian Medical Systems,691,2862 ,-11.10%,249.60 ,-38.00%,3179 ,11198 ,6600,Dow R. Wilson,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,-,Palo Alto,CA,37.441883399999995,-122.14301950000001
756,Groupon,704,2859 ,-9.00%,14.00 ,-,1678 ,2437 ,6672,Rich Williams,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,-,Chicago,IL,41.8781136,-87.62979820000001
757,Aleris,782,2858 ,7.30%,(210.60),-,2644 ,-,5400,Sean M. Stack,"Chairman, President &  Chief Executive Officer",Materials,Metals,-,Cleveland,OH,41.499320000000004,-81.6943605
758,Sprague Resources,837,2855 ,19.50%,29.50 ,190.20%,1363 ,542 ,981,David C. Glendon,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Portsmouth,NH,43.071755200000005,-70.7625532
759,Cooper Tire & Rubber,743,2855 ,-2.40%,95.40 ,-61.60%,2608 ,1491 ,9204,Bradley E. Hughes,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Findlay,OH,41.04422,-83.6499321
760,Hain Celestial Group,,2853 ,-1.10%,67.40 ,42.20%,2931 ,3333 ,7825,Irwin D. Simon,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,-,Lake Success,NY,40.7706572,-73.7176312
761,Penn Mutual Life Insurance,799,2851 ,12.40%,594.00 ,181.80%,31660 ,-,3089,Eileen C. McDonnell,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Horsham,PA,40.1784422,-75.1285061
762,Colony NorthStar,,2842 ,613.20%,(197.90),-568.00%,24786 ,3038 ,544,Richard B. Saltzman,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Los Angeles,CA,34.0522342,-118.24368490000002
763,ArcBest,774,2827 ,4.70%,59.70 ,220.20%,1366 ,822 ,13000,Judy R. McReynolds,"Chairman, President &  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",-,Fort Smith,AR,35.385924200000005,-94.39854749999999
764,Presidio,,2818 ,2.80%,4.40 ,-,2651 ,1438 ,2700,Robert Cagnazzi,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,-,New York,NY,40.7127753,-74.0059728
765,TRI Pointe Group,831,2810 ,16.80%,187.20 ,-4.10%,3805 ,2487 ,1251,Douglas F. Bauer,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,-,Irvine,CA,33.6845673,-117.82650490000002
766,Annaly Capital Management,853,2809 ,20.10%,1569.60 ,9.50%,101760 ,12095 ,152,Kevin G. Keyes,"Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,-,New York,NY,40.7127753,-74.0059728
767,G-III Apparel Group,838,2807 ,17.60%,62.10 ,19.60%,1915 ,1849 ,9961,Morris Goldfarb,Chairman &  Chief Executive Officer,Apparel,Apparel,-,New York,NY,40.7127753,-74.0059728
768,AMC Networks,763,2806 ,1.80%,471.30 ,74.20%,5033 ,3140 ,2039,Joshua W. Sapan,"President, Chief Executive Officer &  Director",Media,Entertainment,-,New York,NY,40.7127753,-74.0059728
769,Enable Midstream Partners,870,2803 ,23.40%,436.00 ,39.70%,11593 ,5935 ,1630,Rodney J. Sailor,"President, Chief Executive Officer &  Director",Energy,Pipelines,-,Oklahoma City,OK,35.4675602,-97.5164276
770,Ciena,788,2802 ,7.70%,1262.00 ,1638.60%,3952 ,3719 ,5737,Gary B. Smith,"President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,-,Hanover,MD,39.1955042,-76.72282270000001
771,DSW,772,2800 ,3.30%,67.30 ,-46.00%,1414 ,1798 ,12000,Roger L. Rawlins,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Columbus,OH,39.9611755,-82.9987942
772,Convergys,746,2792 ,-4.20%,121.40 ,-15.10%,2415 ,2073 ,115000,Andrea J. Ayers,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Cincinnati,OH,39.103118200000004,-84.5120196
773,Park Hotels & Resorts,,2791 ,-,2625.00 ,-,9714 ,5435 ,520,Thomas J. Baltimore Jr.,"Chairman, President &  Chief Executive Officer",Financials,Real estate,-,McLean,VA,38.933867600000006,-77.17726040000001
774,Pool,791,2788 ,8.50%,191.60 ,28.70%,1101 ,5931 ,4000,Manuel J. Perez de la Mesa,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Covington,LA,30.4754702,-90.1009108
775,Fossil Group,723,2788 ,-8.40%,(478.20),-706.30%,1658 ,618 ,12300,Kosta N. Kartsotis,Chairman &  Chief Executive Officer,Apparel,Apparel,-,Richardson,TX,32.948333500000004,-96.72985190000001
776,Dominos Pizza,815,2788 ,12.80%,277.90 ,29.50%,837 ,10060 ,14200,J. Patrick Doyle,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,-,Ann Arbor,MI,42.2808256,-83.7430378
777,Crane,767,2786 ,1.40%,171.80 ,39.90%,3594 ,5547 ,10600,Max H. Mitchell,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Stamford,CT,41.0534302,-73.53873409999999
778,Caleres,790,2786 ,8.00%,87.20 ,32.80%,1489 ,1444 ,12000,Diane M. Sullivan,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,-,St. Louis,MO,38.6270025,-90.1994042
779,Tempur Sealy International,709,2754 ,-12.00%,151.40 ,-20.60%,2694 ,2461 ,7000,Scott L. Thompson,"Chairman, President &  Chief Executive Officer",Household Products,"Home Equipment, Furnishings",-,Lexington,KY,38.040583700000006,-84.50371640000002
780,Tetra Tech,789,2753 ,6.60%,117.90 ,40.70%,1903 ,2734 ,16000,Dan L. Batrack,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",-,Pasadena,CA,34.1477849,-118.1445155
781,Illumina,833,2752 ,14.70%,726.00 ,56.90%,5257 ,34754 ,6200,Francis A. deSouza,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,San Diego,CA,32.715738,-117.1610838
782,Valmont Industries,804,2746 ,8.90%,116.20 ,-32.90%,2602 ,3322 ,10690,Stephen G. Kaniewski,"President, Chief Executive Officer &  Director",Materials,Metals,-,Omaha,NE,41.2565369,-95.93450340000001
783,Hill-Rom Holdings,784,2744 ,3.30%,133.60 ,7.70%,4529 ,5757 ,10000,John P. Groetelaars,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,-,Chicago,IL,41.8781136,-87.62979820000001
784,Unisys,756,2742 ,-2.80%,(65.30),-,2542 ,544 ,20500,Peter A. Altabef,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Blue Bell,PA,40.1523309,-75.266289
785,Zions Bancorp.,816,2736 ,10.80%,592.00 ,26.20%,66288 ,10362 ,10083,Harris H. Simmons,Chairman &  Chief Executive Officer,Financials,Commercial Banks,-,Salt Lake City,UT,40.760779299999996,-111.89104740000002
786,Sinclair Broadcast Group,769,2734 ,-0.10%,576.00 ,134.80%,6785 ,3185 ,8900,Christopher S. Ripley,"President, Chief Executive Officer &  Director",Media,Entertainment,-,Cockeysville,MD,39.490001299999996,-76.6585074
787,Louisiana-Pacific,878,2734 ,22.40%,389.80 ,160.20%,2449 ,4173 ,5000,W. Bradley Southern,Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",-,Nashville,TN,36.1626638,-86.78160159999999
788,Mettler-Toledo International,810,2725 ,8.60%,376.00 ,-2.20%,2550 ,14635 ,14600,Olivier A. Filliol,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Columbus,OH,39.9611755,-82.9987942
789,Synopsys,827,2725 ,12.50%,136.60 ,-48.80%,5396 ,12380 ,11686,Aart J. de Geus/Chi-Foon Chan,Chairman &  Co-Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.08385109999999
790,Kemper,803,2723 ,8.00%,120.90 ,619.60%,8376 ,2933 ,5550,Joseph P. Lacher Jr.,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,Chicago,IL,41.8781136,-87.62979820000001
791,Cabot,829,2717 ,12.70%,241.00 ,61.70%,3314 ,3444 ,4500,Sean D. Keohane,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Boston,MA,42.360082500000004,-71.0588801
792,Great Plains Energy,778,2708 ,1.20%,(106.20),-136.60%,12458 ,6856 ,2709,Terry D. Bassham,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,KCMO,MO,39.0997265,-94.5785667
793,Rent-A-Center,735,2703 ,-8.80%,6.70 ,-,1421 ,461 ,18300,Mitchell E. Fadel,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Plano,TX,33.0198431,-96.6988856
794,Hawaiian Holdings,819,2696 ,10.00%,364.00 ,54.60%,2860 ,1986 ,6660,Peter R. Ingram,"President, Chief Executive Officer &  Director",Transportation,Airlines,-,Honolulu,HI,21.3069444,-157.8583333
795,Revlon,855,2694 ,15.40%,(183.20),-,3057 ,1085 ,7800,Debra G. Perelman,Vice Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,-,New York,NY,40.7127753,-74.0059728
796,Syneos Health,,2672 ,65.90%,(138.50),-222.90%,7286 ,3713 ,21000,Alistair MacDonald,Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Raleigh,NC,35.7795897,-78.6381787
797,Public Storage,794,2669 ,4.20%,1442.20 ,-0.80%,10733 ,34885 ,5600,Ronald L. Havner Jr.,Chairman &  Chief Executive Officer,Financials,Real estate,-,Glendale,CA,34.1425078,-118.255075
798,TTM Technologies,800,2659 ,4.90%,124.20 ,256.30%,2782 ,1582 ,29000,Thomas T. Edman,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Costa Mesa,CA,33.6412156,-117.91882209999999
799,Vectren,820,2657 ,8.50%,216.00 ,2.10%,6239 ,5310 ,5500,Carl L. Chapman,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Evansville,IN,37.9715592,-87.5710898
800,Trimble,844,2654 ,12.40%,121.10 ,-8.50%,4298 ,8920 ,9523,Steven W. Berglund,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Sunnyvale,CA,37.368829999999996,-122.03634960000001
801,NOW,910,2648 ,25.70%,(52.00),-,1749 ,1104 ,4463,Robert R. Workman,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Houston,TX,29.7604267,-95.36980279999999
802,Spirit Airlines,860,2648 ,14.00%,420.60 ,58.80%,4144 ,2577 ,6100,Robert L. Fornaro,Chairman &  Chief Executive Officer,Transportation,Airlines,-,Miramar,FL,25.9860762,-80.3035602
803,ASGN,822,2626 ,7.60%,157.70 ,62.20%,1810 ,4272 ,3800,Peter T. Dameris,Chief Executive Officer &  Director,Business Services,Temporary Help,-,Calabasas,CA,34.1367208,-118.66148090000002
804,Lincoln Electric Holdings,868,2624 ,15.40%,247.50 ,24.80%,2407 ,5902 ,11000,Christopher L. Mapes,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH,41.499320000000004,-81.6943605
805,Prologis,801,2618 ,3.40%,1652.30 ,36.60%,29481 ,33578 ,1565,Hamid R. Moghadam,Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
806,Range Resources,,2611 ,137.40%,333.10 ,-,11729 ,3614 ,773,Jeffrey L. Ventura,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Fort Worth,TX,32.7554883,-97.3307658
807,Teledyne Technologies,900,2604 ,21.10%,227.20 ,19.00%,3846 ,6682 ,10340,Robert Mehrabian,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,-,Thousand Oaks,CA,34.1705609,-118.83759369999999
808,Vishay Intertechnology,858,2604 ,12.10%,(20.30),-141.70%,3459 ,2682 ,23000,Gerald Paul,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Malvern,PA,40.0362184,-75.5138118
809,Boston Properties,796,2602 ,2.00%,462.40 ,-9.80%,19372 ,19018 ,740,Owen D. Thomas,Chief Executive Officer,Financials,Real estate,-,Boston,MA,42.360082500000004,-71.0588801
810,Applied Industrial Technologies,806,2594 ,2.90%,133.90 ,352.80%,1388 ,2819 ,5554,Neil A. Schrimsher,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Cleveland,OH,41.499320000000004,-81.6943605
811,Graham Holdings,813,2592 ,4.40%,302.00 ,79.20%,4938 ,3312 ,16153,Timothy J. Oï¿½Shaughnessy,"President, Chief Executive Officer &  Director",Business Services,Education,-,Arlington,VA,38.8816208,-77.0909809
812,Amica Mutual Insurance,834,2590 ,8.00%,96.10 ,-38.90%,6355 ,-,3693,Robert A. DiMuccio,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),-,Lincoln,RI,41.911012299999996,-71.4418101
813,Concho Resources,,2586 ,58.20%,956.00 ,-,13732 ,22409 ,1203,Timothy A. Leach,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,Midland,TX,31.9973456,-102.0779146
814,ITT,830,2585 ,7.50%,113.50 ,-39.00%,3700 ,4343 ,10000,Denise L. Ramos,"President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,White Plains,NY,41.0339862,-73.76290970000001
815,Kansas City Southern,854,2583 ,10.70%,962.00 ,101.20%,9199 ,11320 ,7130,Patrick J. Ottensmeyer,"President, Chief Executive Officer &  Director",Transportation,Railroads,-,KCMO,MO,39.0997265,-94.5785667
816,MDC Holdings,857,2578 ,10.80%,141.80 ,37.40%,2780 ,1567 ,1491,Larry A. Mizel,Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,-,Denver,CO,39.739235799999996,-104.990251
817,Evergy,793,2571 ,0.30%,323.90 ,-6.50%,11624 ,7480 ,2205,Terry D. Bassham,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Topeka,KS,39.0473451,-95.67515759999999
818,Pinnacle Entertainment,840,2562 ,7.70%,63.10 ,-,3950 ,1753 ,15377,Anthony M. Sanfilippo,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.169941200000004,-115.13982959999998
819,Hawaiian Electric Industries,839,2556 ,7.30%,165.30 ,-33.40%,13100 ,3742 ,3880,Constance H. Lau,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Honolulu,HI,21.3069444,-157.8583333
820,TEGNA,671,2550 ,-23.70%,273.70 ,-37.30%,4962 ,2456 ,5283,David T. Lougee,"President, Chief Executive Officer &  Director",Media,Entertainment,-,McLean,VA,38.933867600000006,-77.17726040000001
821,Southwest Gas Holdings,817,2549 ,3.60%,193.80 ,27.50%,6237 ,3259 ,7771,John P. Hester,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Las Vegas,NV,36.169941200000004,-115.13982959999998
822,Vista Outdoor,872,2547 ,12.20%,(274.50),-286.70%,2977 ,936 ,6400,Christopher T. Metz,Chairman &  Chief Executive Officer,Household Products,Miscellaneous,-,Farmington,UT,40.9804999,-111.8874392
823,Bon-Ton Stores,779,2541 ,-5.00%,(90.70),-,1587 ,1 ,23300,William X. Tracy,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,-,York,PA,39.9625984,-76.727745
824,Super Micro Computer,884,2530 ,14.20%,69.30 ,-3.70%,1489 ,828 ,2699,Charles Liang,"Chairman, President &  Chief Executive Officer",Technology,"Computers, Office Equipment",-,San Jose,CA,37.338208200000004,-121.88632859999998
825,Plexus,795,2528 ,-1.10%,112.10 ,46.60%,1976 ,2012 ,16000,Todd P. Kelsey,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Neenah,WI,44.1858193,-88.462609
826,TrueBlue,766,2509 ,-8.80%,55.50 ,-,1109 ,1063 ,5500,Steven C. Cooper,Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Tacoma,WA,47.252876799999996,-122.4442906
827,Magellan Midstream Partners,889,2508 ,13.70%,869.50 ,8.30%,7394 ,13315 ,1802,Michael N. Mears,"Chairman, President &  Chief Executive Officer",Energy,Pipelines,-,Tulsa,OK,36.1539816,-95.992775
828,Toro,836,2505 ,4.70%,267.70 ,15.90%,1494 ,6621 ,6779,Richard M. Olson,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,-,Bloomington,MN,44.840798,-93.29827990000001
829,Akamai Technologies,851,2503 ,7.00%,218.30 ,-30.90%,4603 ,12069 ,7650,F. Thomson Leighton,Chief Executive Officer &  Director,Technology,Internet Services and Retailing,-,Cambridge,MA,42.373615799999996,-71.10973349999999
830,Moog,828,2498 ,3.50%,141.30 ,11.50%,3091 ,2949 ,10675,John R. Scannell,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,-,Elma Center,NY,42.82122879999999,-78.63419959999999
831,Vertex Pharmaceuticals,,2489 ,46.20%,263.50 ,-,3546 ,41379 ,2300,Jeffrey M. Leiden,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,-,Boston,MA,42.360082500000004,-71.0588801
832,Equity Residential,825,2471 ,1.90%,603.50 ,-85.90%,20571 ,22687 ,2683,David J. Neithercut,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Chicago,IL,41.8781136,-87.62979820000001
833,Selective Insurance Group,865,2470 ,8.10%,168.80 ,6.50%,7686 ,3566 ,2260,Gregory E. Murphy,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),-,Branchville,NJ,41.1464852,-74.7523874
834,AptarGroup,856,2469 ,5.90%,220.00 ,7.00%,3138 ,5600 ,13200,Stephan B. Tanda,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Crystal Lake,IL,42.2411344,-88.3161965
835,Benchmark Electronics,863,2467 ,6.80%,(32.00),-149.90%,2097 ,1455 ,10600,Paul J. Tufano,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Scottsdale,AZ,33.494170399999994,-111.9260519
836,Columbia Sportswear,841,2466 ,3.70%,105.10 ,-45.20%,2213 ,5351 ,6188,Timothy P. Boyle,"President, Chief Executive Officer &  Director",Apparel,Apparel,-,Portland,OR,45.5122308,-122.6587185
837,A. Schulman,811,2461 ,-1.40%,33.00 ,-,1754 ,1270 ,4900,Joseph M. Gingo,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,-,Fairlawn,OH,41.127833,-81.609844
838,Verso,786,2461 ,-6.80%,(30.00),-,1732 ,580 ,4200,B. Christopher DiSantis,"President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Miamisburg,OH,39.642836200000005,-84.2866083
839,Digital Realty Trust,901,2458 ,14.70%,248.30 ,-41.70%,21404 ,21701 ,1429,A. William Stein,Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
840,GNC Holdings,797,2453 ,-3.40%,(148.90),-,1517 ,323 ,11500,Kenneth A. Martindale,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Pittsburgh,PA,40.440624799999995,-79.9958864
841,E*Trade Financial,930,2452 ,21.00%,614.00 ,11.20%,63365 ,14692 ,3607,Karl A. Roessner,Chairman &  Chief Executive Officer,Financials,Securities,-,New York,NY,40.7127753,-74.0059728
842,Hovnanian Enterprises,765,2452 ,-10.90%,(332.20),-,1901 ,271 ,1905,Ara K. Hovnanian,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Red Bank,NJ,40.347054299999996,-74.0643065
843,Maximus,832,2451 ,2.00%,209.40 ,17.40%,1351 ,4353 ,20400,Bruce L. Caswell,"President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Reston,VA,38.9586307,-77.35700279999999
844,Twitter,802,2443 ,-3.40%,(108.10),-,7413 ,21784 ,3372,Jack Dorsey,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,-,SF,CA,37.7749295,-122.4194155
845,Par Pacific Holdings,974,2443 ,31.00%,72.60 ,-,1347 ,784 ,905,William C. Pate,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,-,Houston,TX,29.7604267,-95.36980279999999
846,Parexel International,824,2442 ,0.60%,107.30 ,-30.70%,2313 ,-,18900,Jamie Macdonald,Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Waltham,MA,42.376485200000005,-71.2356113
847,RH,902,2440 ,14.30%,2.20 ,-59.60%,1733 ,2050 ,4750,Gary G. Friedman,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Corte Madera,CA,37.92548060000001,-122.5274755
848,Nexstar Media Group,,2432 ,120.40%,475.00 ,418.90%,7482 ,3066 ,8737,Perry A. Sook,"Chairman, President &  Chief Executive Officer",Media,Entertainment,-,Irving,TX,32.814017699999994,-96.9488945
849,Knight-Swift Transportation Holdings,586,2426 ,116.90%,484.30 ,416.00%,7683 ,8199 ,25300,David A. Jackson,"President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Phoenix,AZ,33.4483771,-112.07403729999999
850,Red Hat,920,2412 ,17.50%,253.70 ,27.30%,4535 ,26464 ,10500,James M. Whitehurst,"President, Chief Executive Officer &  Director",Technology,Computer Software,-,Raleigh,NC,35.7795897,-78.6381787
851,Belden,846,2389 ,1.40%,93.20 ,-27.20%,3841 ,2891 ,8800,John S. Stroup,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",-,St. Louis,MO,38.6270025,-90.1994042
852,Boyd Gaming,894,2384 ,9.10%,189.20 ,-54.70%,4686 ,3589 ,19707,Keith E. Smith,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.169941200000004,-115.13982959999998
853,Primoris Services,938,2380 ,19.20%,72.40 ,170.80%,1256 ,1287 ,7102,David L. King,"President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Dallas,TX,32.7766642,-96.7969879
854,Gardner Denver,,2375 ,22.50%,18.40 ,-,4621 ,6051 ,6400,Vicente Reynal,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Milwaukee,WI,43.0389025,-87.9064736
855,Donaldson,882,2372 ,6.80%,232.80 ,22.00%,1980 ,5851 ,13200,Tod E. Carpenter,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Minneapolis,MN,44.977753,-93.2650108
856,Party City Holdco,866,2372 ,3.90%,215.30 ,83.30%,3455 ,1504 ,14600,James M. Harrison,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Elmsford,NY,41.055096899999995,-73.8201337
857,J.Crew Group,826,2370 ,-2.30%,(125.00),-,1201 ,0 ,8950,James W. Brett,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,New York,NY,40.7127753,-74.0059728
858,EnerSys,861,2367 ,2.20%,160.20 ,17.70%,2293 ,2907 ,9400,David M. Shaffer,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",-,Reading,PA,40.335648299999995,-75.9268747
859,Guess,887,2364 ,7.90%,(7.90),-134.70%,1656 ,1667 ,14700,Victor Herrero,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Los Angeles,CA,34.0522342,-118.24368490000002
860,Patterson-UTI Energy,,2357 ,157.30%,5.90 ,-,5759 ,3892 ,8000,William A. Hendricks Jr.,"President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",-,Houston,TX,29.7604267,-95.36980279999999
861,WGL Holdings,848,2355 ,0.20%,192.60 ,14.90%,6626 ,4296 ,1586,Terry D. McCallister,Chairman &  Chief Executive Officer,Energy,Energy,-,Leavenworth,WA,47.751074100000004,-120.7401385
862,Wolverine World Wide,812,2350 ,-5.80%,0.30 ,-99.70%,2399 ,2753 ,3700,Blake W. Krueger,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,-,Rockford,MI,43.1200272,-85.5600316
863,Xilinx,885,2349 ,6.10%,622.50 ,13.00%,4741 ,18408 ,3831,Victor Peng,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA,37.338208200000004,-121.88632859999998
864,Vornado Realty Trust,809,2345 ,-6.60%,227.40 ,-74.90%,17398 ,12786 ,3989,Steven Roth,Chairman &  Chief Executive Officer,Financials,Real estate,-,New York,NY,40.7127753,-74.0059728
865,Middleby,873,2336 ,3.00%,298.10 ,4.90%,3340 ,6896 ,8493,Selim A. Bassoul,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Elgin,IL,42.035408399999994,-88.2825668
866,MPM Holdings,879,2331 ,4.40%,0.00 ,-,2717 ,1282 ,5200,John G. Boss,"President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Waterford,NY,42.7925777,-73.6812293
867,Cleveland-Cliffs,907,2330.20 ,10.50%,367.00 ,110.80%,2953.40 ,2067 ,2938,Lourenco C. Goncalves,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Cleveland,OH,41.499320000000004,-81.6943605
868,GGP,849,2328 ,-0.80%,657.30 ,-49.00%,23350 ,19581 ,1700,Sandeep Mathrani,Chairman &  Chief Executive Officer,Financials,Real estate,-,Chicago,IL,41.8781136,-87.62979820000001
869,Cypress Semiconductor,959,2328 ,21.00%,(80.90),-,3537 ,6021 ,6099,Hassane El-Khoury,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA,37.338208200000004,-121.88632859999998
